Helsinki-NLP/opus-mt-en-fr,English to French
Helsinki-NLP/opus-mt-en-de,English to German
Tatoeba/opus-en-pl-official,English to Polish
Helsinki-NLP/opus-mt-fr-en,French to English
Helsinki-NLP/opus-mt-fr-de,French to German
Helsinki-NLP/opus-mt-fr-pl,French to Polish
Helsinki-NLP/opus-mt-de-en,German to English
Helsinki-NLP/opus-mt-de-fr,German to French
Helsinki-NLP/opus-mt-de-pl,German to Polish
Helsinki-NLP/opus-mt-pl-en,Polish to English
Helsinki-NLP/opus-mt-pl-fr,Polish to French
Helsinki-NLP/opus-mt-pl-de,Polish to German
