Helsinki-NLP/opus-mt-sq-en,Albanian to English
Helsinki-NLP/opus-mt-sq-es,Albanian to Spanish
Helsinki-NLP/opus-mt-sq-sv,Albanian to Swedish
Helsinki-NLP/opus-mt-ar-en,Arabic to English
Helsinki-NLP/opus-mt-ar-fr,Arabic to French
Helsinki-NLP/opus-mt-ar-de,Arabic to German
Helsinki-NLP/opus-mt-ar-el,Arabic to Greek
Helsinki-NLP/opus-mt-ar-he,Arabic to Hebrew
Helsinki-NLP/opus-mt-ar-it,Arabic to Italian
Helsinki-NLP/opus-mt-ar-pl,Arabic to Polish
Helsinki-NLP/opus-mt-ar-ru,Arabic to Russian
Helsinki-NLP/opus-mt-ar-es,Arabic to Spanish
Helsinki-NLP/opus-mt-ar-tr,Arabic to Turkish
Helsinki-NLP/opus-mt-be-es,Belarusian to Spanish
Helsinki-NLP/opus-mt-bg-en,Bulgarian to English
Helsinki-NLP/opus-mt-bg-fi,Bulgarian to Finnish
Helsinki-NLP/opus-mt-bg-fr,Bulgarian to French
Helsinki-NLP/opus-mt-bg-de,Bulgarian to German
Helsinki-NLP/opus-mt-bg-it,Bulgarian to Italian
Helsinki-NLP/opus-mt-bg-ru,Bulgarian to Russian
Helsinki-NLP/opus-mt-bg-es,Bulgarian to Spanish
Helsinki-NLP/opus-mt-bg-sv,Bulgarian to Swedish
Helsinki-NLP/opus-mt-bg-tr,Bulgarian to Turkish
Helsinki-NLP/opus-mt-bg-uk,Bulgarian to Ukrainian
Helsinki-NLP/opus-mt-ca-nl,Catalan to Dutch
Helsinki-NLP/opus-mt-ca-en,Catalan to English
Helsinki-NLP/opus-mt-ca-fr,Catalan to French
Helsinki-NLP/opus-mt-ca-de,Catalan to German
Helsinki-NLP/opus-mt-ca-it,Catalan to Italian
Helsinki-NLP/opus-mt-ca-pt,Catalan to Portuguese
Helsinki-NLP/opus-mt-ca-es,Catalan to Spanish
Helsinki-NLP/opus-mt-ca-uk,Catalan to Ukrainian
Helsinki-NLP/opus-mt-zh-bg,Chinese to Bulgarian
Helsinki-NLP/opus-mt-zh-nl,Chinese to Dutch
Helsinki-NLP/opus-mt-zh-en,Chinese to English
Helsinki-NLP/opus-mt-zh-fi,Chinese to Finnish
Helsinki-NLP/opus-mt-zh-de,Chinese to German
Helsinki-NLP/opus-mt-zh-he,Chinese to Hebrew
Helsinki-NLP/opus-mt-zh-it,Chinese to Italian
Helsinki-NLP/opus-mt-zh-sv,Chinese to Swedish
Helsinki-NLP/opus-mt-zh-uk,Chinese to Ukrainian
Helsinki-NLP/opus-mt-zh-vi,Chinese to Vietnamese
Helsinki-NLP/opus-mt-hr-fi,Croatian to Finnish
Helsinki-NLP/opus-mt-hr-fr,Croatian to French
Helsinki-NLP/opus-mt-hr-es,Croatian to Spanish
Helsinki-NLP/opus-mt-hr-sv,Croatian to Swedish
Helsinki-NLP/opus-mt-cs-en,Czech to English
Helsinki-NLP/opus-mt-cs-fi,Czech to Finnish
Helsinki-NLP/opus-mt-cs-fr,Czech to French
Helsinki-NLP/opus-mt-cs-de,Czech to German
Helsinki-NLP/opus-mt-cs-sv,Czech to Swedish
Helsinki-NLP/opus-mt-cs-uk,Czech to Ukrainian
Helsinki-NLP/opus-mt-da-en,Danish to English
Helsinki-NLP/opus-mt-da-fi,Danish to Finnish
Helsinki-NLP/opus-mt-da-fr,Danish to French
Helsinki-NLP/opus-mt-da-de,Danish to German
Helsinki-NLP/opus-mt-da-no,Danish to Norwegian
Helsinki-NLP/opus-mt-da-ru,Danish to Russian
Helsinki-NLP/opus-mt-da-es,Danish to Spanish
Helsinki-NLP/opus-mt-nl-ca,Dutch to Catalan
Helsinki-NLP/opus-mt-nl-en,Dutch to English
Helsinki-NLP/opus-mt-nl-fi,Dutch to Finnish
Helsinki-NLP/opus-mt-nl-fr,Dutch to French
Helsinki-NLP/opus-mt-nl-no,Dutch to Norwegian
Helsinki-NLP/opus-mt-nl-es,Dutch to Spanish
Helsinki-NLP/opus-mt-nl-sv,Dutch to Swedish
Helsinki-NLP/opus-mt-nl-uk,Dutch to Ukrainian
Helsinki-NLP/opus-mt-en-sq,English to Albanian
Helsinki-NLP/opus-mt-en-ar,English to Arabic
Helsinki-NLP/opus-mt-en-bg,English to Bulgarian
